id,lat,lon,country,city
46,51.50642000000005,-0.1272099999999341,GBR,London
322,51.50642000000005,-0.1272099999999341,GBR,London
344,51.50642000000005,-0.1272099999999341,GBR,London
717,51.50642000000005,-0.1272099999999341,GBR,London
1136,51.50642000000005,-0.1272099999999341,GBR,London
1166,51.50642000000005,-0.1272099999999341,GBR,London
1642,51.50642000000005,-0.1272099999999341,GBR,London
1669,51.50642000000005,-0.1272099999999341,GBR,London
1906,51.50642000000005,-0.1272099999999341,GBR,London
2002,51.50642000000005,-0.1272099999999341,GBR,London
2007,51.50642000000005,-0.1272099999999341,GBR,London
2214,51.50642000000005,-0.1272099999999341,GBR,London
2630,51.50642000000005,-0.1272099999999341,GBR,London
2632,51.50642000000005,-0.1272099999999341,GBR,London
2959,51.50642000000005,-0.1272099999999341,GBR,London
2986,51.50642000000005,-0.1272099999999341,GBR,London
3171,51.50642000000005,-0.1272099999999341,GBR,London
3180,51.50642000000005,-0.1272099999999341,GBR,London
3221,51.50642000000005,-0.1272099999999341,GBR,London
3284,51.50642000000005,-0.1272099999999341,GBR,London
3287,51.50642000000005,-0.1272099999999341,GBR,London
3428,51.50642000000005,-0.1272099999999341,GBR,London
3677,51.50642000000005,-0.1272099999999341,GBR,London
3788,51.50642000000005,-0.1272099999999341,GBR,London
3914,51.50642000000005,-0.1272099999999341,GBR,London
4013,51.50642000000005,-0.1272099999999341,GBR,London
4034,51.50642000000005,-0.1272099999999341,GBR,London
4393,51.50642000000005,-0.1272099999999341,GBR,London
4436,51.50642000000005,-0.1272099999999341,GBR,London
4599,51.50642000000005,-0.1272099999999341,GBR,London
4687,51.50642000000005,-0.1272099999999341,GBR,London
4696,51.50642000000005,-0.1272099999999341,GBR,London
4914,51.50642000000005,-0.1272099999999341,GBR,London
5673,51.50642000000005,-0.1272099999999341,GBR,London
5895,51.50642000000005,-0.1272099999999341,GBR,London
6458,51.50642000000005,-0.1272099999999341,GBR,London
6663,51.50642000000005,-0.1272099999999341,GBR,London
6990,51.50642000000005,-0.1272099999999341,GBR,London
7157,51.50642000000005,-0.1272099999999341,GBR,London
7167,51.50642000000005,-0.1272099999999341,GBR,London
7168,51.50642000000005,-0.1272099999999341,GBR,London
7176,51.50642000000005,-0.1272099999999341,GBR,London
7393,51.50642000000005,-0.1272099999999341,GBR,London
7599,51.50642000000005,-0.1272099999999341,GBR,London
7839,51.50642000000005,-0.1272099999999341,GBR,London
8162,51.50642000000005,-0.1272099999999341,GBR,London
8293,51.50642000000005,-0.1272099999999341,GBR,London
8314,51.50642000000005,-0.1272099999999341,GBR,London
8733,51.50642000000005,-0.1272099999999341,GBR,London
8737,51.50642000000005,-0.1272099999999341,GBR,London
8746,51.50642000000005,-0.1272099999999341,GBR,London
8749,51.50642000000005,-0.1272099999999341,GBR,London
8914,51.50642000000005,-0.1272099999999341,GBR,London
9063,51.50642000000005,-0.1272099999999341,GBR,London
9342,51.50642000000005,-0.1272099999999341,GBR,London
9444,51.50642000000005,-0.1272099999999341,GBR,London
9568,51.50642000000005,-0.1272099999999341,GBR,London
9858,51.50642000000005,-0.1272099999999341,GBR,London
9886,51.50642000000005,-0.1272099999999341,GBR,London
9903,51.50642000000005,-0.1272099999999341,GBR,London
10021,51.50642000000005,-0.1272099999999341,GBR,London
10056,51.50642000000005,-0.1272099999999341,GBR,London
10380,51.50642000000005,-0.1272099999999341,GBR,London
10401,51.50642000000005,-0.1272099999999341,GBR,London
48,52.47891000000004,-1.9059199999999805,GBR,Birmingham
93,52.47891000000004,-1.9059199999999805,GBR,Birmingham
3586,52.47891000000004,-1.9059199999999805,GBR,Birmingham
3911,52.47891000000004,-1.9059199999999805,GBR,Birmingham
8156,52.47891000000004,-1.9059199999999805,GBR,Birmingham
50,7.188100000000077,21.093750000000057,,
4706,7.188100000000077,21.093750000000057,,
8150,7.188100000000077,21.093750000000057,,
9175,7.188100000000077,21.093750000000057,,
10748,7.188100000000077,21.093750000000057,,
51,9.593696882000074,8.106777828000077,NGA,
1022,9.593696882000074,8.106777828000077,NGA,
1681,9.593696882000074,8.106777828000077,NGA,
1703,9.593696882000074,8.106777828000077,NGA,
2271,9.593696882000074,8.106777828000077,NGA,
2989,9.593696882000074,8.106777828000077,NGA,
3697,9.593696882000074,8.106777828000077,NGA,
3720,9.593696882000074,8.106777828000077,NGA,
4017,9.593696882000074,8.106777828000077,NGA,
4080,9.593696882000074,8.106777828000077,NGA,
4092,9.593696882000074,8.106777828000077,NGA,
4107,9.593696882000074,8.106777828000077,NGA,
6148,9.593696882000074,8.106777828000077,NGA,
6159,9.593696882000074,8.106777828000077,NGA,
6169,9.593696882000074,8.106777828000077,NGA,
6171,9.593696882000074,8.106777828000077,NGA,
6183,9.593696882000074,8.106777828000077,NGA,
6469,9.593696882000074,8.106777828000077,NGA,
7549,9.593696882000074,8.106777828000077,NGA,
7598,9.593696882000074,8.106777828000077,NGA,
7615,9.593696882000074,8.106777828000077,NGA,
7618,9.593696882000074,8.106777828000077,NGA,
7759,9.593696882000074,8.106777828000077,NGA,
7786,9.593696882000074,8.106777828000077,NGA,
7962,9.593696882000074,8.106777828000077,NGA,
8014,9.593696882000074,8.106777828000077,NGA,
8096,9.593696882000074,8.106777828000077,NGA,
8122,9.593696882000074,8.106777828000077,NGA,
8142,9.593696882000074,8.106777828000077,NGA,
8155,9.593696882000074,8.106777828000077,NGA,
9095,9.593696882000074,8.106777828000077,NGA,
9098,9.593696882000074,8.106777828000077,NGA,
9101,9.593696882000074,8.106777828000077,NGA,
